*********ZAZNAM***********
Čakanie 1,5 minúty na ďaľších
Vozidla na linke A  0;  Vozidla na linke B  0; Vozidla na linke C  15
 ; ;Vacsi autobus CD 11:29:41
 ; ;Vacsi autobus CA 11:45:00
 ; ;Vacsi autobus CE 11:22:36
 ; ;Vacsi autobus CF 11:17:48
 ; ;Vacsi autobus K1 11:42:06
 ; ;Vacsi autobus K2 11:38:00
 ; ;Vacsi autobus CE 11:22:36
 ; ;Vacsi autobus CA 11:45:00
 ; ;Vacsi autobus CB 11:44:24
 ; ;Vacsi autobus CG 11:14:06
 ; ;Vacsi autobus CC 11:32:00
 ; ;Vacsi autobus CD 11:29:41
 ; ;Vacsi autobus CE 11:22:36
 ; ;Vacsi autobus CD 11:29:41
 ; ;Vacsi autobus CF 11:17:48
Cena vozidiel: 8175000.0
Linka;Cakanie cestujuceho na linke IS;Percento neskorych prichodov na linke IS
A;8,1526 <7,933 , 8,372>;10,3699 <8,404 , 12,336>
B;5,4086 <5,269 , 5,548>;15,3138 <13,030 , 17,597>
C;8,9937 <8,876 , 9,112>;1,7991 <1,546 , 2,053>
Celkove priemerne cakanie cestujuceho;Celkove priemerne percento neskoro
8,7058 <8,599 , 8,813>;3,3136 <3,028 , 3,600>
Pocet celkovych cestujucich;Pocet cestujucich na stadione
4743,700;1630,250
*********END ZAZNAM***********
*********ZAZNAM***********
Čakanie 1,5 minúty na ďaľších
Vozidla na linke A  0;  Vozidla na linke B  0; Vozidla na linke C  15
 ; ;Vacsi autobus K2 11:38:00
 ; ;Vacsi autobus K1 11:42:06
 ; ;Vacsi autobus CC 11:32:00
 ; ;Vacsi autobus CB 11:44:24
 ; ;Vacsi autobus CF 11:17:48
 ; ;Vacsi autobus K2 11:38:00
 ; ;Vacsi autobus CF 11:17:48
 ; ;Vacsi autobus CA 11:45:00
 ; ;Vacsi autobus CE 11:22:36
 ; ;Vacsi autobus CA 11:45:00
 ; ;Vacsi autobus CD 11:29:41
 ; ;Vacsi autobus K1 11:42:06
 ; ;Vacsi autobus CC 11:32:00
 ; ;Vacsi autobus CD 11:29:41
 ; ;Vacsi autobus K2 11:38:00
Cena vozidiel: 8175000.0
Linka;Cakanie cestujuceho na linke IS;Percento neskorych prichodov na linke IS
A;8,9354 <8,675 , 9,196>;7,1619 <5,373 , 8,950>
B;5,5483 <5,383 , 5,713>;10,1382 <8,800 , 11,477>
C;9,0014 <8,867 , 9,135>;3,0714 <2,496 , 3,646>
Celkove priemerne cakanie cestujuceho;Celkove priemerne percento neskoro
8,7828 <8,675 , 8,891>;3,8324 <3,342 , 4,323>
Pocet celkovych cestujucich;Pocet cestujucich na stadione
4724,450;1624,550
*********END ZAZNAM***********
*********ZAZNAM***********
Čakanie 1,5 minúty na ďaľších
Vozidla na linke A  0;  Vozidla na linke B  0; Vozidla na linke C  15
 ; ;Vacsi autobus K1 11:42:06
 ; ;Vacsi autobus CE 11:22:36
 ; ;Vacsi autobus CE 11:22:36
 ; ;Vacsi autobus CA 11:45:00
 ; ;Vacsi autobus K2 11:38:00
 ; ;Vacsi autobus CC 11:32:00
 ; ;Vacsi autobus CC 11:32:00
 ; ;Vacsi autobus CF 11:17:48
 ; ;Vacsi autobus K2 11:38:00
 ; ;Vacsi autobus CG 11:14:06
 ; ;Vacsi autobus CB 11:44:24
 ; ;Vacsi autobus CB 11:44:24
 ; ;Vacsi autobus CA 11:45:00
 ; ;Vacsi autobus CA 11:45:00
 ; ;Vacsi autobus CD 11:29:41
Cena vozidiel: 8175000.0
Linka;Cakanie cestujuceho na linke IS;Percento neskorych prichodov na linke IS
A;8,5900 <8,340 , 8,840>;10,7435 <8,967 , 12,520>
B;5,5500 <5,292 , 5,808>;11,0914 <8,908 , 13,275>
C;8,4326 <8,346 , 8,519>;1,5153 <1,305 , 1,726>
Celkove priemerne cakanie cestujuceho;Celkove priemerne percento neskoro
8,2640 <8,187 , 8,341>;2,8804 <2,649 , 3,112>
Pocet celkovych cestujucich;Pocet cestujucich na stadione
4751,950;1639,950
*********END ZAZNAM***********
*********ZAZNAM***********
Čakanie 1,5 minúty na ďaľších
Vozidla na linke A  0;  Vozidla na linke B  0; Vozidla na linke C  15
 ; ;Vacsi autobus CB 11:44:24
 ; ;Vacsi autobus CG 11:14:06
 ; ;Vacsi autobus CD 11:29:41
 ; ;Vacsi autobus CC 11:32:00
 ; ;Vacsi autobus CE 11:22:36
 ; ;Vacsi autobus K1 11:42:06
 ; ;Vacsi autobus K2 11:38:00
 ; ;Vacsi autobus CC 11:32:00
 ; ;Vacsi autobus K1 11:42:06
 ; ;Vacsi autobus CA 11:45:00
 ; ;Vacsi autobus CC 11:32:00
 ; ;Vacsi autobus CC 11:32:00
 ; ;Vacsi autobus CG 11:14:06
 ; ;Vacsi autobus K2 11:38:00
 ; ;Vacsi autobus CF 11:17:48
Cena vozidiel: 8175000.0
Linka;Cakanie cestujuceho na linke IS;Percento neskorych prichodov na linke IS
A;8,7628 <8,455 , 9,071>;7,6114 <5,549 , 9,674>
B;5,7982 <5,612 , 5,984>;8,0788 <5,803 , 10,355>
C;9,7442 <9,578 , 9,911>;4,8862 <4,161 , 5,611>
Celkove priemerne cakanie cestujuceho;Celkove priemerne percento neskoro
9,4198 <9,278 , 9,562>;5,2989 <4,592 , 6,005>
Pocet celkovych cestujucich;Pocet cestujucich na stadione
4744,650;1634,900
*********END ZAZNAM***********
