*********ZAZNAM***********
Okamžitý odchod vozidla
Vozidla na linke A  16;  Vozidla na linke B  9; Vozidla na linke C  11
1 Vacsi autobus 186,00;0 Mensi autobus 107,02;0 Vacsi autobus 182,67
2 Mensi autobus 196,43;1 Vacsi autobus 324,59;1 Vacsi autobus 186,00
3 Vacsi autobus 186,00;2 Mensi autobus 186,34;2 Vacsi autobus 183,98
4 Vacsi autobus 353,57;3 Vacsi autobus 220,90;6 Vacsi autobus 186,00
6 Vacsi autobus 186,00;4 Vacsi autobus 372,00;7 Vacsi autobus 183,32
7 Vacsi autobus 186,00;2000 Mikrobus 8,00;8 Vacsi autobus 186,00
8 Vacsi autobus 182,07;2001 Mikrobus 8,00;9 Vacsi autobus 186,11
9 Vacsi autobus 186,00;2002 Mikrobus 8,00;3000 Mikrobus 5,62
10 Mensi autobus 107,00;2003 Mikrobus 8,00;3001 Mikrobus 4,46
11 Vacsi autobus 189,15; ;3002 Mikrobus 6,76
12 Vacsi autobus 186,00; ;3003 Mikrobus 7,11
1000 Mikrobus 8,00; ; 
1001 Mikrobus 10,19; ; 
1002 Mikrobus 8,00; ; 
1003 Mikrobus 8,00; ; 
1004 Mikrobus 8,00; ; 
Cena vozidiel: 1.1635E7
Linka;Cakanie cestujuceho na linke IS;Percento neskorych prichodov na linke IS
A;8,2632 <8,148 , 8,378>;7,8504 <7,658 , 8,043>
B;8,9226 <8,791 , 9,054>;0,6204 <0,546 , 0,695>
C;12,2136 <12,097 , 12,331>;0,6994 <0,578 , 0,821>
Linka;Zisk mikrobusov
A;42.19
B;32.0
C;23.95
Celkove priemerne cakanie cestujuceho;Celkove priemerne percento neskoro
9,5981 <9,527 , 9,669>;3,9602 <3,868 , 4,053>
Pocet celkovych cestujucich;Pocet cestujucich na stadione
4747,290;4747,290
*********END ZAZNAM***********
*********ZAZNAM***********
Okamžitý odchod vozidla
Vozidla na linke A  16;  Vozidla na linke B  9; Vozidla na linke C  11
1 Vacsi autobus 186,00;0 Mensi autobus 107,06;0 Vacsi autobus 183,56
2 Mensi autobus 196,57;1 Vacsi autobus 318,89;1 Vacsi autobus 186,00
3 Vacsi autobus 186,00;2 Mensi autobus 187,02;2 Vacsi autobus 182,39
4 Vacsi autobus 353,37;3 Vacsi autobus 221,04;6 Vacsi autobus 186,00
6 Vacsi autobus 186,00;4 Vacsi autobus 371,97;7 Vacsi autobus 183,71
7 Vacsi autobus 185,97;2000 Mikrobus 8,00;8 Vacsi autobus 186,00
8 Vacsi autobus 179,00;2001 Mikrobus 8,00;9 Vacsi autobus 186,23
9 Vacsi autobus 186,00;2002 Mikrobus 8,00;3000 Mikrobus 5,42
10 Mensi autobus 107,00;2003 Mikrobus 8,00;3001 Mikrobus 4,51
11 Vacsi autobus 190,59; ;3002 Mikrobus 6,55
12 Vacsi autobus 186,00; ;3003 Mikrobus 7,34
1000 Mikrobus 8,00; ; 
1001 Mikrobus 10,24; ; 
1002 Mikrobus 8,00; ; 
1003 Mikrobus 8,00; ; 
1004 Mikrobus 8,00; ; 
Cena vozidiel: 1.1635E7
Linka;Cakanie cestujuceho na linke IS;Percento neskorych prichodov na linke IS
A;8,0693 <7,967 , 8,172>;7,9134 <7,719 , 8,108>
B;8,7665 <8,648 , 8,885>;0,5933 <0,526 , 0,661>
C;12,3787 <12,258 , 12,499>;0,6674 <0,554 , 0,780>
Linka;Zisk mikrobusov
A;42.24
B;32.0
C;23.82
Celkove priemerne cakanie cestujuceho;Celkove priemerne percento neskoro
9,5214 <9,458 , 9,585>;3,9751 <3,877 , 4,073>
Pocet celkovych cestujucich;Pocet cestujucich na stadione
4740,430;4740,430
*********END ZAZNAM***********
*********ZAZNAM***********
Okamžitý odchod vozidla
Vozidla na linke A  16;  Vozidla na linke B  9; Vozidla na linke C  11
1 Vacsi autobus 186,00;0 Mensi autobus 107,20;0 Vacsi autobus 183,39
2 Mensi autobus 195,80;1 Vacsi autobus 320,88;1 Vacsi autobus 186,00
3 Vacsi autobus 186,00;2 Mensi autobus 185,19;2 Vacsi autobus 184,50
4 Vacsi autobus 352,10;3 Vacsi autobus 221,94;6 Vacsi autobus 186,00
6 Vacsi autobus 186,00;4 Vacsi autobus 371,95;7 Vacsi autobus 183,44
7 Vacsi autobus 186,00;2000 Mikrobus 8,01;8 Vacsi autobus 186,00
8 Vacsi autobus 178,21;2001 Mikrobus 8,00;9 Vacsi autobus 184,91
9 Vacsi autobus 186,00;2002 Mikrobus 8,00;3000 Mikrobus 5,74
10 Mensi autobus 107,00;2003 Mikrobus 8,00;3001 Mikrobus 4,44
11 Vacsi autobus 190,27; ;3002 Mikrobus 6,47
12 Vacsi autobus 186,00; ;3003 Mikrobus 7,17
1000 Mikrobus 8,00; ; 
1001 Mikrobus 10,15; ; 
1002 Mikrobus 8,00; ; 
1003 Mikrobus 8,00; ; 
1004 Mikrobus 8,00; ; 
Cena vozidiel: 1.1635E7
Linka;Cakanie cestujuceho na linke IS;Percento neskorych prichodov na linke IS
A;8,1640 <8,054 , 8,274>;7,8502 <7,667 , 8,033>
B;8,7564 <8,617 , 8,896>;0,6592 <0,584 , 0,735>
C;12,2836 <12,159 , 12,408>;0,6368 <0,509 , 0,764>
Linka;Zisk mikrobusov
A;42.15
B;32.01
C;23.82
Celkove priemerne cakanie cestujuceho;Celkove priemerne percento neskoro
9,5332 <9,467 , 9,599>;3,9515 <3,858 , 4,045>
Pocet celkovych cestujucich;Pocet cestujucich na stadione
4738,760;4738,760
*********END ZAZNAM***********
*********ZAZNAM***********
Okamžitý odchod vozidla
Vozidla na linke A  16;  Vozidla na linke B  9; Vozidla na linke C  11
1 Vacsi autobus 186,00;0 Mensi autobus 107,21;0 Vacsi autobus 184,96
2 Mensi autobus 196,02;1 Vacsi autobus 320,61;1 Vacsi autobus 186,00
3 Vacsi autobus 186,00;2 Mensi autobus 185,46;2 Vacsi autobus 183,74
4 Vacsi autobus 354,89;3 Vacsi autobus 221,94;6 Vacsi autobus 186,00
6 Vacsi autobus 186,00;4 Vacsi autobus 371,98;7 Vacsi autobus 185,01
7 Vacsi autobus 186,00;2000 Mikrobus 8,00;8 Vacsi autobus 186,00
8 Vacsi autobus 180,74;2001 Mikrobus 8,00;9 Vacsi autobus 186,93
9 Vacsi autobus 186,00;2002 Mikrobus 8,00;3000 Mikrobus 5,48
10 Mensi autobus 107,00;2003 Mikrobus 8,00;3001 Mikrobus 4,21
11 Vacsi autobus 190,09; ;3002 Mikrobus 6,32
12 Vacsi autobus 186,00; ;3003 Mikrobus 6,97
1000 Mikrobus 8,00; ; 
1001 Mikrobus 10,29; ; 
1002 Mikrobus 8,00; ; 
1003 Mikrobus 8,00; ; 
1004 Mikrobus 8,00; ; 
Cena vozidiel: 1.1635E7
Linka;Cakanie cestujuceho na linke IS;Percento neskorych prichodov na linke IS
